episode_id,family,correct_action,k,n_seeds,p1_success_rate,minimum_realised_context_tokens,within_family_variance,in_40_70_band,floor_control,admitted,exclusion_reasons
pagination-k6,pagination,adapt,6,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
pagination-k7,pagination,adapt,7,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
pagination-k8,pagination,adapt,8,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
pagination-k9,pagination,adapt,9,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
serialization-k1,serialization,adapt,1,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
serialization-k10,serialization,abandon,10,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
serialization-k11,serialization,abandon,11,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
serialization-k12,serialization,abandon,12,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
serialization-k13,serialization,abandon,13,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
serialization-k14,serialization,abandon,14,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
serialization-k15,serialization,abandon,15,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
serialization-k16,serialization,abandon,16,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
serialization-k2,serialization,adapt,2,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
serialization-k3,serialization,adapt,3,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
serialization-k4,serialization,adapt,4,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
serialization-k5,serialization,adapt,5,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
serialization-k6,serialization,adapt,6,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
serialization-k7,serialization,abandon,7,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
serialization-k8,serialization,abandon,8,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
serialization-k9,serialization,abandon,9,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
transaction-k1,transaction,adapt,1,3,0.6666666666666666,0,True,True,False,False,context_below_8000
transaction-k10,transaction,escalate,10,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
transaction-k11,transaction,escalate,11,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
transaction-k12,transaction,escalate,12,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
transaction-k13,transaction,escalate,13,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
transaction-k14,transaction,escalate,14,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
transaction-k15,transaction,escalate,15,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
transaction-k16,transaction,escalate,16,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
transaction-k2,transaction,adapt,2,3,0.3333333333333333,0,True,False,False,False,context_below_8000
transaction-k3,transaction,adapt,3,3,0.3333333333333333,0,True,False,False,False,context_below_8000
transaction-k4,transaction,adapt,4,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
transaction-k5,transaction,adapt,5,3,1,0,True,False,False,False,context_below_8000;outside_30_70_band
transaction-k6,transaction,escalate,6,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
transaction-k7,transaction,escalate,7,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
transaction-k8,transaction,escalate,8,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
transaction-k9,transaction,escalate,9,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
