episode_id,family,correct_action,k,n_seeds,n_valid_seeds,invalid_response_count,p1_success_rate,minimum_realised_context_tokens,within_family_variance,in_40_70_band,floor_control,admitted,exclusion_reasons
scope_authorization-adapt-k8,scope_authorization,adapt,8,3,3,0,0.6666666666666666,8000,True,True,False,True,
scope_authorization-escalate-k8,scope_authorization,escalate,8,3,3,0,0.3333333333333333,8000,True,False,False,True,
secret_redaction-abandon-k8,secret_redaction,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
secret_redaction-adapt-k8,secret_redaction,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
secret_redaction-escalate-k8,secret_redaction,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
slot_selection-abandon-k8,slot_selection,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
slot_selection-adapt-k8,slot_selection,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
slot_selection-escalate-k8,slot_selection,escalate,8,3,3,0,0.3333333333333333,8000,True,False,False,True,
stable_serialization-abandon-k8,stable_serialization,abandon,8,3,3,0,0.6666666666666666,8000,True,True,False,True,
stable_serialization-adapt-k8,stable_serialization,adapt,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
stable_serialization-escalate-k8,stable_serialization,escalate,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
state_transition-abandon-k8,state_transition,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
state_transition-adapt-k8,state_transition,adapt,8,3,3,0,0.6666666666666666,8000,True,True,False,True,
state_transition-escalate-k8,state_transition,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
status_routing-abandon-k8,status_routing,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
status_routing-adapt-k8,status_routing,adapt,8,3,3,0,0.6666666666666666,8000,True,True,False,True,
status_routing-escalate-k8,status_routing,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
structured_logging-abandon-k8,structured_logging,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
structured_logging-adapt-k8,structured_logging,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
structured_logging-escalate-k8,structured_logging,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
threshold_classification-abandon-k8,threshold_classification,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
threshold_classification-adapt-k8,threshold_classification,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
threshold_classification-escalate-k8,threshold_classification,escalate,8,3,3,0,0.3333333333333333,8000,True,False,False,True,
token_consumption-abandon-k8,token_consumption,abandon,8,3,3,0,0.6666666666666666,8000,True,True,False,True,
token_consumption-adapt-k8,token_consumption,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
token_consumption-escalate-k8,token_consumption,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
version_comparison-abandon-k8,version_comparison,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
version_comparison-adapt-k8,version_comparison,adapt,8,3,3,0,0.3333333333333333,8000,True,False,False,True,
version_comparison-escalate-k8,version_comparison,escalate,8,3,3,0,0.6666666666666666,8000,True,True,False,True,
versioned_commit-abandon-k8,versioned_commit,abandon,8,3,3,0,0.6666666666666666,8000,True,True,False,True,
versioned_commit-adapt-k8,versioned_commit,adapt,8,3,3,0,0.3333333333333333,8000,True,False,False,True,
versioned_commit-escalate-k8,versioned_commit,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
weighted_total-abandon-k8,weighted_total,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
weighted_total-adapt-k8,weighted_total,adapt,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
weighted_total-escalate-k8,weighted_total,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
