episode_id,family,correct_action,k,n_seeds,n_valid_seeds,invalid_response_count,p1_success_rate,minimum_realised_context_tokens,within_family_variance,in_40_70_band,floor_control,admitted,exclusion_reasons
inclusive_steps-adapt-k8,inclusive_steps,adapt,8,10,10,0,0.4,8000,True,True,False,True,
inclusive_steps-escalate-k8,inclusive_steps,escalate,8,10,10,0,0.8,8000,True,False,False,False,outside_30_70_band
missing_field_sum-abandon-k8,missing_field_sum,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
missing_field_sum-adapt-k8,missing_field_sum,adapt,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
missing_field_sum-escalate-k8,missing_field_sum,escalate,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
null_record_order-abandon-k8,null_record_order,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
null_record_order-adapt-k8,null_record_order,adapt,8,10,10,0,0.7,8000,True,True,False,True,
null_record_order-escalate-k8,null_record_order,escalate,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
nullable_overlay-abandon-k8,nullable_overlay,abandon,8,10,10,0,0.8,8000,True,False,False,False,outside_30_70_band
nullable_overlay-adapt-k8,nullable_overlay,adapt,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
nullable_overlay-escalate-k8,nullable_overlay,escalate,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
optional_weights-abandon-k8,optional_weights,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
optional_weights-adapt-k8,optional_weights,adapt,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
optional_weights-escalate-k8,optional_weights,escalate,8,10,10,0,0.5,8000,True,True,False,True,
percentage_utilization-abandon-k8,percentage_utilization,abandon,8,10,10,0,0.8,8000,True,False,False,False,outside_30_70_band
percentage_utilization-adapt-k8,percentage_utilization,adapt,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
percentage_utilization-escalate-k8,percentage_utilization,escalate,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
prefixed_selection-abandon-k8,prefixed_selection,abandon,8,10,10,0,0.1,8000,True,False,False,False,outside_30_70_band
prefixed_selection-adapt-k8,prefixed_selection,adapt,8,10,10,0,0.2,8000,True,False,False,False,outside_30_70_band
prefixed_selection-escalate-k8,prefixed_selection,escalate,8,10,10,0,0.9,8000,True,False,False,False,outside_30_70_band
rectangular_transpose-abandon-k8,rectangular_transpose,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
rectangular_transpose-adapt-k8,rectangular_transpose,adapt,8,10,10,0,0.8,8000,True,False,False,False,outside_30_70_band
rectangular_transpose-escalate-k8,rectangular_transpose,escalate,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
remainder_interleave-abandon-k8,remainder_interleave,abandon,8,10,10,0,0.6,8000,True,True,False,True,
remainder_interleave-adapt-k8,remainder_interleave,adapt,8,10,10,0,0.7,8000,True,True,False,True,
remainder_interleave-escalate-k8,remainder_interleave,escalate,8,10,10,0,0.5,8000,True,True,False,True,
right_closed_buckets-abandon-k8,right_closed_buckets,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
right_closed_buckets-adapt-k8,right_closed_buckets,adapt,8,10,10,0,0.6,8000,True,True,False,True,
right_closed_buckets-escalate-k8,right_closed_buckets,escalate,8,10,10,0,0.4,8000,True,True,False,True,
scope_coverage-abandon-k8,scope_coverage,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
scope_coverage-adapt-k8,scope_coverage,adapt,8,10,10,0,0.2,8000,True,False,False,False,outside_30_70_band
scope_coverage-escalate-k8,scope_coverage,escalate,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
segment_prefix-abandon-k8,segment_prefix,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
segment_prefix-adapt-k8,segment_prefix,adapt,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
segment_prefix-escalate-k8,segment_prefix,escalate,8,10,10,0,0.7,8000,True,True,False,True,
severity_filtering-abandon-k8,severity_filtering,abandon,8,10,10,0,1,8000,False,False,False,False,zero_within_family_variance;outside_30_70_band
severity_filtering-adapt-k8,severity_filtering,adapt,8,10,10,0,1,8000,False,False,False,False,zero_within_family_variance;outside_30_70_band
severity_filtering-escalate-k8,severity_filtering,escalate,8,10,10,0,1,8000,False,False,False,False,zero_within_family_variance;outside_30_70_band
stable_priority_merge-abandon-k8,stable_priority_merge,abandon,8,10,10,0,0.9,8000,True,False,False,False,outside_30_70_band
stable_priority_merge-adapt-k8,stable_priority_merge,adapt,8,10,10,0,0.9,8000,True,False,False,False,outside_30_70_band
stable_priority_merge-escalate-k8,stable_priority_merge,escalate,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
stable_ranking-abandon-k8,stable_ranking,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
stable_ranking-adapt-k8,stable_ranking,adapt,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
stable_ranking-escalate-k8,stable_ranking,escalate,8,10,10,0,0.3,8000,True,False,False,True,
strided_windows-abandon-k8,strided_windows,abandon,8,10,10,0,0.1,8000,True,False,False,False,outside_30_70_band
strided_windows-adapt-k8,strided_windows,adapt,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
strided_windows-escalate-k8,strided_windows,escalate,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
suffix_replacement-abandon-k8,suffix_replacement,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
suffix_replacement-adapt-k8,suffix_replacement,adapt,8,10,10,0,0.4,8000,True,True,False,True,
suffix_replacement-escalate-k8,suffix_replacement,escalate,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
tag_deduplication-abandon-k8,tag_deduplication,abandon,8,10,10,0,0.3,8000,True,False,False,True,
tag_deduplication-adapt-k8,tag_deduplication,adapt,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
tag_deduplication-escalate-k8,tag_deduplication,escalate,8,10,10,0,0.1,8000,True,False,False,False,outside_30_70_band
tie_breaking_vote-abandon-k8,tie_breaking_vote,abandon,8,10,10,0,0.9,8000,True,False,False,False,outside_30_70_band
tie_breaking_vote-adapt-k8,tie_breaking_vote,adapt,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
tie_breaking_vote-escalate-k8,tie_breaking_vote,escalate,8,10,10,0,0.9,8000,True,False,False,False,outside_30_70_band
timeout_ceiling-abandon-k8,timeout_ceiling,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
timeout_ceiling-adapt-k8,timeout_ceiling,adapt,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
timeout_ceiling-escalate-k8,timeout_ceiling,escalate,8,10,10,0,0.9,8000,True,False,False,False,outside_30_70_band
timeout_retry_status-abandon-k8,timeout_retry_status,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
timeout_retry_status-adapt-k8,timeout_retry_status,adapt,8,10,10,0,0.3,8000,True,False,False,True,
timeout_retry_status-escalate-k8,timeout_retry_status,escalate,8,10,10,0,0.5,8000,True,True,False,True,
touching_intervals-abandon-k8,touching_intervals,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
touching_intervals-adapt-k8,touching_intervals,adapt,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
touching_intervals-escalate-k8,touching_intervals,escalate,8,10,10,0,0.8,8000,True,False,False,False,outside_30_70_band
truncated_quantization-abandon-k8,truncated_quantization,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
truncated_quantization-adapt-k8,truncated_quantization,adapt,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
truncated_quantization-escalate-k8,truncated_quantization,escalate,8,10,10,0,0.3,8000,True,False,False,True,
truncating_padding-abandon-k8,truncating_padding,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
truncating_padding-adapt-k8,truncating_padding,adapt,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
truncating_padding-escalate-k8,truncating_padding,escalate,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
unmapped_keys-abandon-k8,unmapped_keys,abandon,8,10,10,0,0.7,8000,True,True,False,True,
unmapped_keys-adapt-k8,unmapped_keys,adapt,8,10,10,0,0.2,8000,True,False,False,False,outside_30_70_band
unmapped_keys-escalate-k8,unmapped_keys,escalate,8,10,10,0,0.2,8000,True,False,False,False,outside_30_70_band
visible_token_suffix-abandon-k8,visible_token_suffix,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
visible_token_suffix-adapt-k8,visible_token_suffix,adapt,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
visible_token_suffix-escalate-k8,visible_token_suffix,escalate,8,10,10,0,0.6,8000,True,True,False,True,
whitespace_runs-abandon-k8,whitespace_runs,abandon,8,10,10,0,0.8,8000,True,False,False,False,outside_30_70_band
whitespace_runs-adapt-k8,whitespace_runs,adapt,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
whitespace_runs-escalate-k8,whitespace_runs,escalate,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
wrapped_indexing-abandon-k8,wrapped_indexing,abandon,8,10,10,0,0.3,8000,True,False,False,True,
wrapped_indexing-adapt-k8,wrapped_indexing,adapt,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
wrapped_indexing-escalate-k8,wrapped_indexing,escalate,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
zero_padded_numbers-abandon-k8,zero_padded_numbers,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
zero_padded_numbers-adapt-k8,zero_padded_numbers,adapt,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
zero_padded_numbers-escalate-k8,zero_padded_numbers,escalate,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
